# This file was produced by bcftools stats (1.24+htslib-1.24) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/variants/NIST7035_filtered_variants.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/variants/NIST7035_filtered_variants.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
#
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
#
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	283102
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	249261
SN	0	number of MNPs:	0
SN	0	number of indels:	33879
SN	0	number of others:	0
SN	0	number of multiallelic sites:	757
SN	0	number of multiallelic SNP sites:	60
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	149710	99611	1.50	149656	99518	1.50
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	72374	46949	25425	12558	0	0	12558
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	72374	46949	25425	12558	0	0	12558
AF	0	0.990000	176947	102761	74186	21859	0	0	21859
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	271.9	0	0	0	1
QUAL	0	272.0	43	33	10	5
QUAL	0	272.6	91	63	28	10
QUAL	0	272.9	1	1	0	2
QUAL	0	273.0	44	25	19	11
QUAL	0	273.6	91	69	22	9
QUAL	0	273.7	0	0	0	2
QUAL	0	273.8	1	0	1	0
QUAL	0	273.9	0	0	0	1
QUAL	0	274.0	46	31	15	4
QUAL	0	274.6	116	83	33	30
QUAL	0	274.7	0	0	0	2
QUAL	0	274.8	0	0	0	1
QUAL	0	274.9	0	0	0	1
QUAL	0	275.0	44	33	11	2
QUAL	0	275.6	96	69	27	8
QUAL	0	275.8	0	0	0	1
QUAL	0	275.9	1	1	0	2
QUAL	0	276.0	46	30	16	3
QUAL	0	276.1	0	0	0	1
QUAL	0	276.6	90	66	24	8
QUAL	0	276.7	3	2	1	0
QUAL	0	276.9	0	0	0	2
QUAL	0	277.0	46	32	14	9
QUAL	0	277.2	0	0	0	1
QUAL	0	277.5	1	0	1	0
QUAL	0	277.6	110	80	30	18
QUAL	0	278.0	44	34	10	1
QUAL	0	278.4	0	0	0	1
QUAL	0	278.6	79	50	29	5
QUAL	0	278.7	1	1	0	0
QUAL	0	279.0	57	33	24	2
QUAL	0	279.6	67	50	17	9
QUAL	0	279.7	1	0	1	1
QUAL	0	280.0	52	35	17	7
QUAL	0	280.6	90	54	36	19
QUAL	0	280.7	1	1	0	0
QUAL	0	280.8	1	0	1	0
QUAL	0	280.9	1	0	1	0
QUAL	0	281.0	44	34	10	2
QUAL	0	281.1	1	0	1	0
QUAL	0	281.6	104	67	37	7
QUAL	0	281.9	0	0	0	3
QUAL	0	282.0	37	28	9	3
QUAL	0	282.6	122	90	32	5
QUAL	0	282.7	1	1	0	0
QUAL	0	283.0	42	23	19	2
QUAL	0	283.6	109	82	27	14
QUAL	0	283.9	1	1	0	1
QUAL	0	284.0	39	23	16	4
QUAL	0	284.6	103	67	36	11
QUAL	0	284.8	0	0	0	1
QUAL	0	285.0	35	26	9	5
QUAL	0	285.4	0	0	0	1
QUAL	0	285.6	74	55	19	6
QUAL	0	285.7	1	0	1	0
QUAL	0	285.9	0	0	0	1
QUAL	0	286.0	25	16	9	13
QUAL	0	286.4	1	0	1	0
QUAL	0	286.5	0	0	0	1
QUAL	0	286.6	91	67	24	14
QUAL	0	286.8	0	0	0	1
QUAL	0	286.9	0	0	0	1
QUAL	0	287.0	43	30	13	3
QUAL	0	287.6	89	66	23	6
QUAL	0	287.7	0	0	0	1
QUAL	0	288.0	28	23	5	2
QUAL	0	288.6	85	57	28	13
QUAL	0	288.7	1	1	0	0
QUAL	0	288.9	1	0	1	5
QUAL	0	289.0	31	26	5	8
QUAL	0	289.6	84	65	19	12
QUAL	0	289.7	1	1	0	0
QUAL	0	289.9	0	0	0	2
QUAL	0	290.0	20	12	8	3
QUAL	0	290.6	88	59	29	5
QUAL	0	290.7	2	2	0	0
QUAL	0	290.9	0	0	0	2
QUAL	0	291.0	40	34	6	2
QUAL	0	291.4	1	1	0	0
QUAL	0	291.6	80	64	16	10
QUAL	0	291.9	0	0	0	3
QUAL	0	292.0	36	27	9	8
QUAL	0	292.6	100	65	35	9
QUAL	0	292.9	0	0	0	1
QUAL	0	293.0	38	23	15	2
QUAL	0	293.6	75	53	22	13
QUAL	0	293.9	0	0	0	2
QUAL	0	294.0	35	27	8	1
QUAL	0	294.6	83	53	30	2
QUAL	0	294.7	1	1	0	0
QUAL	0	294.9	1	0	1	3
QUAL	0	295.0	30	28	2	1
QUAL	0	295.6	113	72	41	6
QUAL	0	295.7	1	1	0	0
QUAL	0	295.9	0	0	0	3
QUAL	0	296.0	34	22	12	7
QUAL	0	296.6	79	50	29	3
QUAL	0	297.0	31	25	6	3
QUAL	0	297.6	106	79	27	7
QUAL	0	297.7	1	1	0	0
QUAL	0	298.0	41	28	13	2
QUAL	0	298.6	80	55	25	13
QUAL	0	298.9	0	0	0	1
QUAL	0	299.0	36	22	14	5
QUAL	0	299.6	76	51	25	10
QUAL	0	299.9	0	0	0	2
QUAL	0	300.0	41	28	13	5
QUAL	0	300.6	80	55	25	4
QUAL	0	300.9	0	0	0	57
QUAL	0	301.0	129	71	58	3
QUAL	0	301.6	83	59	24	15
QUAL	0	302.0	43	32	11	5
QUAL	0	302.6	67	46	21	7
QUAL	0	303.0	39	32	7	0
QUAL	0	303.6	77	52	25	11
QUAL	0	303.8	1	1	0	1
QUAL	0	303.9	0	0	0	1
QUAL	0	304.0	33	20	13	3
QUAL	0	304.1	2	1	1	0
QUAL	0	304.6	94	67	27	20
QUAL	0	304.7	1	1	0	0
QUAL	0	305.0	43	33	10	3
QUAL	0	305.6	71	39	32	5
QUAL	0	305.9	1	1	0	1
QUAL	0	306.0	39	23	16	7
QUAL	0	306.6	80	64	16	6
QUAL	0	307.0	50	38	12	5
QUAL	0	307.1	1	0	1	0
QUAL	0	307.6	108	78	30	19
QUAL	0	307.9	1	0	1	0
QUAL	0	308.0	41	25	16	2
QUAL	0	308.6	71	49	22	8
QUAL	0	308.7	0	0	0	1
QUAL	0	309.0	39	20	19	8
QUAL	0	309.6	85	62	23	6
QUAL	0	309.9	1	1	0	0
QUAL	0	310.0	46	28	18	5
QUAL	0	310.6	120	74	46	18
QUAL	0	310.7	1	1	0	0
QUAL	0	310.9	1	1	0	0
QUAL	0	311.0	46	35	11	5
QUAL	0	311.6	78	60	18	7
QUAL	0	312.0	37	27	10	3
QUAL	0	312.6	83	63	20	5
QUAL	0	312.7	1	1	0	0
QUAL	0	312.9	1	1	0	0
QUAL	0	313.0	30	13	17	1
QUAL	0	313.6	84	54	30	9
QUAL	0	314.0	32	20	12	2
QUAL	0	314.6	76	54	22	6
QUAL	0	314.7	1	1	0	0
QUAL	0	314.9	1	1	0	0
QUAL	0	315.0	38	26	12	1
QUAL	0	315.4	0	0	0	1
QUAL	0	315.6	76	50	26	6
QUAL	0	315.7	1	1	0	0
QUAL	0	315.9	0	0	0	1
QUAL	0	316.0	52	41	11	3
QUAL	0	316.6	102	71	31	11
QUAL	0	317.0	40	28	12	3
QUAL	0	317.4	0	0	0	1
QUAL	0	317.6	80	52	28	2
QUAL	0	317.7	2	2	0	0
QUAL	0	318.0	36	25	11	3
QUAL	0	318.4	1	1	0	0
QUAL	0	318.6	81	65	16	5
QUAL	0	318.9	0	0	0	1
QUAL	0	319.0	42	24	18	4
QUAL	0	319.1	1	0	1	0
QUAL	0	319.5	0	0	0	1
QUAL	0	319.6	89	60	29	10
QUAL	0	320.0	42	28	14	1
QUAL	0	320.3	1	0	1	0
QUAL	0	320.6	89	58	31	8
QUAL	0	321.0	44	29	15	4
QUAL	0	321.6	72	47	25	5
QUAL	0	321.7	2	1	1	0
QUAL	0	321.8	0	0	0	1
QUAL	0	322.0	42	25	17	4
QUAL	0	322.6	92	61	31	8
QUAL	0	322.7	1	0	1	0
QUAL	0	322.9	0	0	0	1
QUAL	0	323.0	39	26	13	6
QUAL	0	323.6	77	54	23	9
QUAL	0	323.7	2	2	0	0
QUAL	0	323.8	0	0	0	1
QUAL	0	323.9	1	0	1	0
QUAL	0	324.0	34	23	11	0
QUAL	0	324.5	1	0	1	0
QUAL	0	324.6	73	55	18	7
QUAL	0	324.9	1	0	1	2
QUAL	0	325.0	32	25	7	4
QUAL	0	325.6	76	53	23	9
QUAL	0	325.7	0	0	0	1
QUAL	0	325.8	0	0	0	1
QUAL	0	326.0	38	27	11	7
QUAL	0	326.1	0	0	0	2
QUAL	0	326.2	1	0	1	0
QUAL	0	326.6	69	55	14	6
QUAL	0	326.8	1	1	0	0
QUAL	0	327.0	28	22	6	4
QUAL	0	327.2	1	1	0	0
QUAL	0	327.6	72	46	26	3
QUAL	0	327.7	0	0	0	1
QUAL	0	327.8	2	1	1	0
QUAL	0	328.0	19	11	8	4
QUAL	0	328.6	80	57	23	10
QUAL	0	328.9	2	2	0	0
QUAL	0	329.0	41	30	11	2
QUAL	0	329.2	0	0	0	1
QUAL	0	329.6	82	57	25	1
QUAL	0	329.7	1	1	0	0
QUAL	0	330.0	24	18	6	5
QUAL	0	330.5	1	0	1	0
QUAL	0	330.6	73	55	18	6
QUAL	0	330.8	2	0	2	0
QUAL	0	331.0	28	23	5	1
QUAL	0	331.6	83	55	28	9
QUAL	0	331.7	1	1	0	0
QUAL	0	331.8	0	0	0	1
QUAL	0	332.0	39	27	12	0
QUAL	0	332.6	83	53	30	8
QUAL	0	332.9	2	2	0	1
QUAL	0	333.0	38	30	8	3
QUAL	0	333.6	81	61	20	1
QUAL	0	333.7	2	2	0	0
QUAL	0	334.0	26	19	7	6
QUAL	0	334.3	1	1	0	0
QUAL	0	334.6	71	47	24	7
QUAL	0	334.8	1	0	1	0
QUAL	0	335.0	32	24	8	5
QUAL	0	335.1	0	0	0	1
QUAL	0	335.6	64	46	18	7
QUAL	0	335.7	1	0	1	0
QUAL	0	335.9	1	1	0	1
QUAL	0	336.0	35	28	7	5
QUAL	0	336.1	0	0	0	1
QUAL	0	336.6	70	47	23	7
QUAL	0	337.0	20	19	1	2
QUAL	0	337.3	1	1	0	0
QUAL	0	337.6	77	55	22	14
QUAL	0	337.7	1	1	0	0
QUAL	0	337.9	1	0	1	0
QUAL	0	338.0	26	23	3	3
QUAL	0	338.6	80	58	22	6
QUAL	0	338.9	0	0	0	2
QUAL	0	339.0	49	28	21	3
QUAL	0	339.6	67	42	25	5
QUAL	0	339.9	1	1	0	1
QUAL	0	340.0	37	23	14	2
QUAL	0	340.6	82	44	38	13
QUAL	0	340.7	1	0	1	0
QUAL	0	340.9	0	0	0	1
QUAL	0	341.0	32	21	11	2
QUAL	0	341.6	68	45	23	5
QUAL	0	342.0	31	23	8	1
QUAL	0	342.6	80	62	18	5
QUAL	0	342.8	1	1	0	0
QUAL	0	342.9	1	1	0	0
QUAL	0	343.0	32	22	10	6
QUAL	0	343.6	84	55	29	15
QUAL	0	344.0	41	27	14	3
QUAL	0	344.6	83	60	23	4
QUAL	0	345.0	36	25	11	9
QUAL	0	345.6	73	53	20	7
QUAL	0	346.0	99	62	37	41
QUAL	0	346.6	66	43	23	13
QUAL	0	347.0	25	17	8	4
QUAL	0	347.6	70	49	21	6
QUAL	0	347.7	1	1	0	0
QUAL	0	347.9	0	0	0	1
QUAL	0	348.0	39	32	7	2
QUAL	0	348.6	71	49	22	9
QUAL	0	348.7	1	0	1	0
QUAL	0	349.0	45	30	15	2
QUAL	0	349.3	1	1	0	0
QUAL	0	349.6	72	46	26	13
QUAL	0	349.7	1	1	0	0
QUAL	0	349.9	1	1	0	0
QUAL	0	350.0	43	30	13	7
QUAL	0	350.1	1	1	0	0
QUAL	0	350.6	62	45	17	4
QUAL	0	350.7	1	1	0	0
QUAL	0	350.8	1	1	0	0
QUAL	0	351.0	38	28	10	5
QUAL	0	351.1	0	0	0	2
QUAL	0	351.6	66	46	20	3
QUAL	0	351.7	1	0	1	0
QUAL	0	351.9	0	0	0	1
QUAL	0	352.0	27	17	10	1
QUAL	0	352.6	77	57	20	7
QUAL	0	352.8	1	0	1	0
QUAL	0	352.9	0	0	0	2
QUAL	0	353.0	37	28	9	3
QUAL	0	353.1	0	0	0	1
QUAL	0	353.6	68	44	24	5
QUAL	0	353.8	0	0	0	1
QUAL	0	354.0	23	15	8	1
QUAL	0	354.6	71	53	18	2
QUAL	0	355.0	36	27	9	6
QUAL	0	355.3	1	1	0	0
QUAL	0	355.6	76	55	21	13
QUAL	0	355.8	0	0	0	1
QUAL	0	356.0	36	20	16	6
QUAL	0	356.3	1	0	1	0
QUAL	0	356.6	72	54	18	5
QUAL	0	356.9	0	0	0	1
QUAL	0	357.0	43	35	8	3
QUAL	0	357.4	1	1	0	0
QUAL	0	357.6	57	35	22	1
QUAL	0	358.0	38	33	5	4
QUAL	0	358.1	0	0	0	1
QUAL	0	358.6	66	45	21	14
QUAL	0	359.0	37	26	11	4
QUAL	0	359.6	74	51	23	11
QUAL	0	359.8	1	0	1	0
QUAL	0	359.9	0	0	0	2
QUAL	0	360.0	47	31	16	4
QUAL	0	360.1	1	1	0	0
QUAL	0	360.6	80	54	26	3
QUAL	0	360.7	1	1	0	0
QUAL	0	360.9	1	0	1	0
QUAL	0	361.0	38	22	16	3
QUAL	0	361.1	2	0	2	0
QUAL	0	361.6	66	46	20	12
QUAL	0	361.7	1	1	0	0
QUAL	0	361.8	1	1	0	0
QUAL	0	361.9	0	0	0	1
QUAL	0	362.0	40	29	11	3
QUAL	0	362.2	1	1	0	0
QUAL	0	362.6	52	34	18	3
QUAL	0	362.9	0	0	0	1
QUAL	0	363.0	33	25	8	5
QUAL	0	363.6	66	38	28	10
QUAL	0	364.0	29	20	9	3
QUAL	0	364.1	1	1	0	0
QUAL	0	364.6	86	62	24	12
QUAL	0	364.9	1	0	1	0
QUAL	0	365.0	33	21	12	5
QUAL	0	365.6	58	40	18	3
QUAL	0	365.9	1	1	0	0
QUAL	0	366.0	32	22	10	4
QUAL	0	366.6	67	46	21	3
QUAL	0	366.8	1	1	0	0
QUAL	0	366.9	1	1	0	0
QUAL	0	367.0	34	27	7	2
QUAL	0	367.6	88	64	24	9
QUAL	0	368.0	40	28	12	7
QUAL	0	368.6	76	49	27	4
QUAL	0	369.0	34	24	10	3
QUAL	0	369.6	64	51	13	5
QUAL	0	370.0	38	24	14	4
QUAL	0	370.5	0	0	0	1
QUAL	0	370.6	69	51	18	3
QUAL	0	370.7	1	0	1	0
QUAL	0	370.9	1	1	0	1
QUAL	0	371.0	37	25	12	4
QUAL	0	371.2	0	0	0	1
QUAL	0	371.3	1	0	1	0
QUAL	0	371.6	58	36	22	5
QUAL	0	371.9	1	1	0	0
QUAL	0	372.0	32	22	10	2
QUAL	0	372.6	63	43	20	3
QUAL	0	372.7	3	3	0	0
QUAL	0	372.8	1	1	0	0
QUAL	0	373.0	32	24	8	1
QUAL	0	373.3	1	1	0	0
QUAL	0	373.6	69	47	22	8
QUAL	0	373.9	0	0	0	1
QUAL	0	374.0	34	23	11	2
QUAL	0	374.3	1	0	1	0
QUAL	0	374.6	55	43	12	7
QUAL	0	374.9	1	1	0	0
QUAL	0	375.0	36	26	10	2
QUAL	0	375.6	61	41	20	9
QUAL	0	375.7	1	0	1	0
QUAL	0	376.0	39	29	10	6
QUAL	0	376.3	2	1	1	0
QUAL	0	376.6	50	36	14	7
QUAL	0	377.0	41	28	13	2
QUAL	0	377.2	0	0	0	1
QUAL	0	377.6	65	50	15	4
QUAL	0	378.0	32	24	8	2
QUAL	0	378.6	74	49	25	8
QUAL	0	378.7	1	0	1	0
QUAL	0	379.0	28	20	8	9
QUAL	0	379.1	1	1	0	0
QUAL	0	379.6	68	50	18	11
QUAL	0	379.8	1	1	0	0
QUAL	0	380.0	32	25	7	3
QUAL	0	380.6	64	43	21	7
QUAL	0	381.0	35	17	18	1
QUAL	0	381.2	1	1	0	0
QUAL	0	381.6	63	41	22	2
QUAL	0	381.7	1	0	1	0
QUAL	0	382.0	36	24	12	5
QUAL	0	382.6	55	34	21	12
QUAL	0	383.0	30	23	7	9
QUAL	0	383.4	1	1	0	0
QUAL	0	383.6	63	44	19	4
QUAL	0	383.7	1	1	0	0
QUAL	0	384.0	33	24	9	2
QUAL	0	384.6	55	39	16	4
QUAL	0	385.0	33	23	10	2
QUAL	0	385.1	1	1	0	1
QUAL	0	385.6	71	52	19	8
QUAL	0	385.8	0	0	0	1
QUAL	0	386.0	43	29	14	7
QUAL	0	386.3	1	0	1	0
QUAL	0	386.5	1	0	1	0
QUAL	0	386.6	65	42	23	6
QUAL	0	387.0	38	22	16	2
QUAL	0	387.6	61	46	15	6
QUAL	0	387.7	1	1	0	0
QUAL	0	388.0	37	24	13	0
QUAL	0	388.6	64	45	19	10
QUAL	0	388.9	1	0	1	0
QUAL	0	389.0	20	15	5	4
QUAL	0	389.1	1	1	0	0
QUAL	0	389.3	1	1	0	0
QUAL	0	389.6	51	36	15	2
QUAL	0	390.0	28	20	8	7
QUAL	0	390.6	63	50	13	3
QUAL	0	390.9	0	0	0	1
QUAL	0	391.0	103	54	49	51
QUAL	0	391.1	1	1	0	0
QUAL	0	391.6	91	57	34	10
QUAL	0	392.0	30	24	6	5
QUAL	0	392.6	68	41	27	3
QUAL	0	393.0	22	11	11	4
QUAL	0	393.1	0	0	0	1
QUAL	0	393.6	63	50	13	8
QUAL	0	394.0	38	26	12	1
QUAL	0	394.2	0	0	0	1
QUAL	0	394.3	1	1	0	0
QUAL	0	394.6	69	48	21	3
QUAL	0	395.0	32	24	8	4
QUAL	0	395.6	57	40	17	6
QUAL	0	395.8	0	0	0	1
QUAL	0	396.0	42	27	15	1
QUAL	0	396.6	58	44	14	4
QUAL	0	396.7	3	2	1	0
QUAL	0	397.0	39	25	14	7
QUAL	0	397.6	66	40	26	7
QUAL	0	397.9	1	1	0	0
QUAL	0	398.0	31	22	9	4
QUAL	0	398.6	54	39	15	4
QUAL	0	398.9	1	1	0	0
QUAL	0	399.0	29	22	7	2
QUAL	0	399.4	0	0	0	1
QUAL	0	399.5	1	1	0	0
QUAL	0	399.6	64	45	19	6
QUAL	0	399.9	1	1	0	1
QUAL	0	400.0	32	21	11	5
QUAL	0	400.6	58	38	20	9
QUAL	0	400.9	0	0	0	1
QUAL	0	401.0	31	20	11	0
QUAL	0	401.1	1	1	0	0
QUAL	0	401.6	45	28	17	3
QUAL	0	402.0	28	19	9	5
QUAL	0	402.4	1	1	0	0
QUAL	0	402.6	50	36	14	13
QUAL	0	403.0	30	25	5	6
QUAL	0	403.3	1	0	1	0
QUAL	0	403.6	67	49	18	12
QUAL	0	404.0	29	21	8	1
QUAL	0	404.6	57	46	11	3
QUAL	0	405.0	34	24	10	1
QUAL	0	405.6	53	33	20	8
QUAL	0	406.0	36	26	10	4
QUAL	0	406.6	66	49	17	5
QUAL	0	406.7	0	0	0	1
QUAL	0	406.8	1	0	1	0
QUAL	0	407.0	34	27	7	1
QUAL	0	407.6	47	31	16	5
QUAL	0	407.9	1	1	0	0
QUAL	0	408.0	32	22	10	5
QUAL	0	408.6	53	40	13	3
QUAL	0	409.0	49	38	11	1
QUAL	0	409.1	1	1	0	0
QUAL	0	409.6	47	33	14	11
QUAL	0	409.9	2	2	0	0
QUAL	0	410.0	22	19	3	3
QUAL	0	410.1	1	0	1	0
QUAL	0	410.6	56	40	16	8
QUAL	0	410.8	1	1	0	0
QUAL	0	411.0	31	20	11	0
QUAL	0	411.2	1	0	1	0
QUAL	0	411.6	47	31	16	5
QUAL	0	411.8	1	1	0	0
QUAL	0	411.9	1	1	0	1
QUAL	0	412.0	34	25	9	3
QUAL	0	412.6	54	34	20	13
QUAL	0	412.7	1	0	1	0
QUAL	0	413.0	32	22	10	4
QUAL	0	413.6	61	43	18	5
QUAL	0	413.7	1	0	1	0
QUAL	0	414.0	30	21	9	5
QUAL	0	414.6	67	50	17	3
QUAL	0	414.9	1	0	1	1
QUAL	0	415.0	30	20	10	3
QUAL	0	415.6	56	39	17	3
QUAL	0	415.8	0	0	0	1
QUAL	0	416.0	20	12	8	2
QUAL	0	416.2	1	1	0	0
QUAL	0	416.6	45	34	11	3
QUAL	0	416.7	1	1	0	0
QUAL	0	417.0	30	22	8	1
QUAL	0	417.4	0	0	0	1
QUAL	0	417.6	66	44	22	8
QUAL	0	418.0	28	19	9	2
QUAL	0	418.1	1	0	1	0
QUAL	0	418.3	2	2	0	0
QUAL	0	418.5	2	2	0	0
QUAL	0	418.6	54	40	14	10
QUAL	0	418.9	1	0	1	0
QUAL	0	419.0	30	23	7	3
QUAL	0	419.2	0	0	0	1
QUAL	0	419.6	47	32	15	4
QUAL	0	420.0	17	11	6	4
QUAL	0	420.6	51	39	12	1
QUAL	0	421.0	29	22	7	3
QUAL	0	421.6	58	48	10	15
QUAL	0	422.0	22	15	7	4
QUAL	0	422.6	58	41	17	4
QUAL	0	422.9	0	0	0	1
QUAL	0	423.0	26	19	7	3
QUAL	0	423.1	2	0	2	0
QUAL	0	423.3	2	1	1	0
QUAL	0	423.6	65	48	17	3
QUAL	0	423.7	1	1	0	0
QUAL	0	424.0	27	16	11	6
QUAL	0	424.6	55	34	21	8
QUAL	0	425.0	37	19	18	5
QUAL	0	425.1	1	0	1	0
QUAL	0	425.4	1	1	0	0
QUAL	0	425.6	54	39	15	4
QUAL	0	426.0	32	23	9	2
QUAL	0	426.6	47	27	20	6
QUAL	0	426.7	1	1	0	0
QUAL	0	427.0	43	27	16	3
QUAL	0	427.5	1	0	1	0
QUAL	0	427.6	55	32	23	13
QUAL	0	427.8	0	0	0	1
QUAL	0	427.9	0	0	0	1
QUAL	0	428.0	24	14	10	1
QUAL	0	428.1	1	0	1	0
QUAL	0	428.3	0	0	0	1
QUAL	0	428.6	57	30	27	4
QUAL	0	428.8	0	0	0	1
QUAL	0	429.0	26	17	9	4
QUAL	0	429.1	1	1	0	0
QUAL	0	429.6	50	30	20	4
QUAL	0	430.0	32	22	10	6
QUAL	0	430.6	53	34	19	14
QUAL	0	431.0	28	20	8	10
QUAL	0	431.6	50	24	26	6
QUAL	0	432.0	37	23	14	4
QUAL	0	432.6	56	43	13	6
QUAL	0	433.0	40	26	14	1
QUAL	0	433.1	1	1	0	0
QUAL	0	433.3	1	1	0	0
QUAL	0	433.6	57	42	15	11
QUAL	0	434.0	35	19	16	5
QUAL	0	434.6	50	36	14	4
QUAL	0	434.8	1	0	1	0
QUAL	0	434.9	0	0	0	1
QUAL	0	435.0	41	27	14	5
QUAL	0	435.6	51	40	11	4
QUAL	0	436.0	77	56	21	41
QUAL	0	436.1	1	1	0	0
QUAL	0	436.6	56	39	17	13
QUAL	0	437.0	30	19	11	4
QUAL	0	437.6	43	31	12	4
QUAL	0	437.9	1	0	1	0
QUAL	0	438.0	31	20	11	2
QUAL	0	438.6	55	40	15	3
QUAL	0	438.7	0	0	0	1
QUAL	0	438.9	1	0	1	0
QUAL	0	439.0	30	22	8	3
QUAL	0	439.6	57	41	16	3
QUAL	0	440.0	41	22	19	1
QUAL	0	440.3	1	1	0	0
QUAL	0	440.6	46	31	15	5
QUAL	0	441.0	28	20	8	1
QUAL	0	441.1	1	1	0	0
QUAL	0	441.6	47	32	15	6
QUAL	0	441.9	1	1	0	0
QUAL	0	442.0	38	28	10	3
QUAL	0	442.5	0	0	0	1
QUAL	0	442.6	58	40	18	8
QUAL	0	442.9	0	0	0	1
QUAL	0	443.0	33	19	14	3
QUAL	0	443.6	39	24	15	4
QUAL	0	443.9	0	0	0	1
QUAL	0	444.0	40	26	14	4
QUAL	0	444.6	48	28	20	4
QUAL	0	444.9	0	0	0	1
QUAL	0	445.0	42	25	17	6
QUAL	0	445.3	1	1	0	0
QUAL	0	445.6	57	40	17	5
QUAL	0	446.0	27	17	10	1
QUAL	0	446.6	65	44	21	4
QUAL	0	446.7	1	0	1	0
QUAL	0	446.9	1	0	1	0
QUAL	0	447.0	28	21	7	3
QUAL	0	447.2	1	1	0	0
QUAL	0	447.3	1	0	1	0
QUAL	0	447.6	53	36	17	1
QUAL	0	448.0	33	20	13	0
QUAL	0	448.6	65	43	22	4
QUAL	0	448.9	1	0	1	0
QUAL	0	449.0	21	15	6	2
QUAL	0	449.6	53	40	13	7
QUAL	0	449.9	1	0	1	0
QUAL	0	450.0	27	19	8	7
QUAL	0	450.5	0	0	0	1
QUAL	0	450.6	52	38	14	7
QUAL	0	451.0	36	26	10	3
QUAL	0	451.2	0	0	0	1
QUAL	0	451.6	57	39	18	5
QUAL	0	451.8	0	0	0	1
QUAL	0	451.9	1	0	1	0
QUAL	0	452.0	20	16	4	1
QUAL	0	452.2	0	0	0	1
QUAL	0	452.3	1	0	1	0
QUAL	0	452.6	37	31	6	5
QUAL	0	452.9	0	0	0	1
QUAL	0	453.0	30	22	8	1
QUAL	0	453.6	44	33	11	3
QUAL	0	453.8	1	1	0	0
QUAL	0	454.0	18	10	8	4
QUAL	0	454.6	50	39	11	8
QUAL	0	455.0	23	13	10	0
QUAL	0	455.2	1	1	0	0
QUAL	0	455.6	50	33	17	6
QUAL	0	455.8	1	0	1	0
QUAL	0	455.9	1	1	0	0
QUAL	0	456.0	26	17	9	0
QUAL	0	456.3	1	0	1	0
QUAL	0	456.6	46	36	10	4
QUAL	0	456.9	1	1	0	0
QUAL	0	457.0	20	15	5	7
QUAL	0	457.1	1	1	0	0
QUAL	0	457.6	44	27	17	7
QUAL	0	458.0	28	21	7	2
QUAL	0	458.6	63	40	23	4
QUAL	0	459.0	29	25	4	1
QUAL	0	459.1	2	1	1	0
QUAL	0	459.2	1	1	0	0
QUAL	0	459.5	1	1	0	0
QUAL	0	459.6	45	38	7	6
QUAL	0	460.0	22	14	8	5
QUAL	0	460.1	0	0	0	1
QUAL	0	460.3	0	0	0	1
QUAL	0	460.6	58	40	18	5
QUAL	0	461.0	31	21	10	3
QUAL	0	461.4	1	0	1	0
QUAL	0	461.5	0	0	0	1
QUAL	0	461.6	48	39	9	2
QUAL	0	461.7	1	0	1	0
QUAL	0	462.0	26	18	8	2
QUAL	0	462.6	38	30	8	4
QUAL	0	462.8	1	1	0	0
QUAL	0	463.0	20	16	4	2
QUAL	0	463.4	0	0	0	1
QUAL	0	463.6	58	43	15	6
QUAL	0	463.8	0	0	0	1
QUAL	0	464.0	23	15	8	6
